name,price,description,link,photo link
Ноутбук Lenovo IdeaPad 330-15IKB (81DC00A0RA),от 16 399 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Частота - 2,5-3,1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_330-15ikb_81dc00a0ra/catc839t14m3710557.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X542UF-DM273 (90NB0IJ2-M03860),от 15 710 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-8130U
Частота - 2,2-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf-dm273_90nb0ij2-m03860/catc839t14m3705030.html,https:/images/preload.gif
Ноутбук ASUS X541NA-DM126,от 10 370 грн. ,"Тип - Ноутбук
Тип процессора - N4200
Частота - 1.1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_x541na-dm126/catc839t14m2951193.html,https:/images/preload.gif
Ноутбук ASUS X541NA-DM122,от 10 370 грн. ,"Тип - Ноутбук
Тип процессора -  N4200
Частота - 1.1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_x541na-dm122/catc839t14m2951194.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 17 X705UA-GC433 (90NB0EV1-M05330),от 16 499 грн. ,"Тип - Ноутбук
Тип процессора - 8130U
Частота - 2.2 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_17_x705ua-gc433_90nb0ev1-m05330/catc839t14m3522848.html,https:/images/preload.gif
Ноутбук HP 17-bs037cl (2DQ75UA),от 13 499 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 17.3 дюйм.
Разрешение экрана - 1600x900 пикс.",https://price.ua/hp/hp_17-bs037cl_2dq75ua/catc839t14m3525732.html,https:/images/preload.gif
Ноутбук Toshiba Satellite Pro R50-C-151 (PS571E-079031PL),14 929 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTb2b2d263ef9eae2413442fefc87851deowO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ4ODI4MTMxMDMiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 330-15IGM (81D100HERA),10 004 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium Silver N5000
Частота - 1,1-2,7 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ4NzgzNTM4OTMiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Dell Inspiron 3567 (I355410DIW-63B),от 14 888 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-7200U
Частота - 2,5-3,1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/dell/dell_inspiron_3567_black_i355410diw-63b/catc839t14m3388009.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X510UF-BQ435 (90NB0IK2-M06620),от 16 499 грн. ,"Тип - Ультрабук
Тип процессора - Intel Core i3-8130U
Частота - 2,2-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x510uf-bq435_90nb0ik2-m06620/catc839t14m3705821.html,https:/images/preload.gif
